STAID	Vs30
HWA021	501.861233291253
HWA024	693.6
HWA033	392.7473
HWA034	381.7765
HWA037	466.52670865407
HWA038	661.5215
HWA039	506.797001317328
HWA040	438.5965
HWA042	496.88142948351
HWA043	544.464609800363
HWA044	533.049040511727
HWA053	829.072820229377
HWA054	490.089420406063
HWA055	523.809798016561
TTN001	484.457004440856
TTN002	663.93714728339
TTN004	602.68
TTN005	655.43
TTN006	698.53
TTN007	648.28
TTN008	257.828129979739
TTN010	326.199365923474
TTN013	326.199365923474
TTN014	539.6169
TTN015	491.6637
TTN018	641.803634381193
TTN020	514.4474
TTN022	513.748577311788
TTN023	542.2013
TTN024	550.1054
TTN025	701.0984
TTN026	736.89
TTN027	318.218
TTN028	619.834710743802
TTN029	519.2557
TTN030	688.9425
TTN031	512.689054088695
TTN032	736.105999263894
TTN033	660.211267605634
TTN034	457.491422035837
TTN035	514.411283115669
TTN036	469.153259638248
TTN037	738.189
TTN040	726.5682
TTN041	431.5926
TTN042	824.5156
TTN043	490.596892886345
TTN044	353.3569
TTN045	539.471318108254
TTN046	529.100529100529
TTN047	516.576913525139
TTN048	733.14
TTN050	411.27281137485
TTN051	902.74
TTN052	679.02
TCU074	558.2434
TTN031	512.689054088695
TTN032	736.105999263894
TTN001	484.457004440856
CHY003	183.18795400291
CHY004	272.9754
CHY006	422.684
CHY002	229.62
CHY009	226.1079
CHY010	816.86
CHY012	192.2214
CHY013	216.2318
CHY014	341.8024
CHY015	224.7275
CHY016	199.4681
CHY017	196.0186
CHY019	405.879197795316
CHY020	214.1404
CHY022	570.0171
CHY023	279.7855
CHY024	408.4967
CHY026	220.6369
CHY028	546.906333175338
CHY029	541.6629
CHY030	207.8786
CHY032	192.5669
CHY033	193.3239
CHY034	383.1418
CHY035	554.221319046739
CHY036	236.0532
CHY037	208.7755
CHY038	372.8792
CHY039	195.1495
CHY041	488.1224
CHY042	610.889405697683
CHY044	192.6659
CHY046	446.4618
CHY047	183.5174
CHY049	224.8207
CHY050	442.000419618134
CHY052	522.143012108921
CHY053	272.6653
CHY054	175.1108
CHY055	221.4512
CHY057	390.695969464844
CHY058	271.1252
CHY059	186.9741
CHY008	209.4972
CHY061	489.563839394738
CHY062	597.8477
CHY063	287.6594
CHY065	222.6924
CHY066	211.492
CHY067	229.0426
CHY069	219.9817
CHY070	228.6673
CHY071	200.5214
CHY073	201.4775
CHY074	524.6131
CHY076	170.8915
CHY077	124.8959
CHY078	162.2506
CHY079	625.94
CHY081	639.372301756394
CHY082	194.8052
CHY086	591.171339734472
CHY087	508.001
CHY088	329.543582138738
CHY090	181.8788
CHY092	252.2068
CHY093	191.3937
CHY094	223.1977
CHY095	216.3644
CHY096	412.245274184106
CHY099	217.1177
CHY100	353.195969605714
CHY101	252.3659
CHY102	836.1204
CHY104	218.8024
CHY105	204.3597
CHY106	227.6349
CHY107	181.0514
CHY109	580.115432019159
CHY110	801.58
CHY111	269.6387
CHY116	194.3365
KAU001	504.660110159669
KAU009	270.5384
KAU010	216.668088738303
KAU012	304.6613
KAU013	261.5975
KAU018	371.313366224799
KAU028	547.7951
CHY060	223.9238
KAU047	494.634199374146
KAU050	650.81
KAU053	863.23
KAU054	502.7652
KAU064	242.4634
KAU069	512.6452
KAU070	289.3923
KAU085	255.809
KAU086	213.474110077072
TCU048	558.3572
TCU049	469.7409
TCU050	539.3258
TCU051	415.688654360583
TCU052	589.2173
TCU053	452.1136
TCU056	401.1902
TCU057	539.513833877385
TCU059	232.1892
TCU060	605.2048
TCU061	365.2968
TCU063	476.1527
TCU071	614.7541
TCU072	471.8836
TCU076	573.2302
TCU082	469.3734
TCU084	733.78
TCU086	222.8992
TCU100	442.685742222822
TCU102	706.2054
TCU104	403.4698
TCU105	539.132
TCU107	313.246089582577
TCU109	352.274047449854
TCU110	199.4681
TCU111	233.4721
TCU112	191.2655
TCU113	231.0892
TCU115	184.9283
TCU116	463.2489
TCU117	207.168
TCU118	228.554
TCU119	222
TCU122	623.58
TCU123	268.662552564575
TCU129	506.4573
TCU140	221.9263
TCU141	221.2226
TCU145	225
TTN041	431.5926
TTN051	902.74
CHY018	594.6482
CHY021	212.3443
CHY034	383.1418
CHY040	604.540748889689
CHY041	488.1224
CHY049	224.8207
CHY050	442.000419618134
CHY051	363.8789
CHY052	522.143012108921
CHY035	554.221319046739
CHY057	390.695969464844
CHY058	271.1252
CHY061	489.563839394738
CHY062	597.8477
CHY063	287.6594
CHY065	222.6924
CHY070	228.6673
CHY074	524.6131
CHY078	162.2506
CHY079	625.94
CHY081	639.372301756394
CHY087	508.001
CHY089	396.1965
CHY097	329.758534026067
CHY099	217.1177
CHY100	353.195969605714
CHY102	836.1204
CHY109	580.115432019159
CHY110	801.58
CHY121	647.065877035028
HWA004	319.5909
HWA021	501.861233291253
HWA024	693.6
HWA034	381.7765
HWA037	466.52670865407
HWA038	661.5215
HWA039	506.797001317328
HWA040	438.5965
HWA041	481.85030517186
HWA042	496.88142948351
HWA054	490.089420406063
HWA055	523.809798016561
KAU001	504.660110159669
KAU007	277.65996108714
KAU008	287.4527
KAU009	270.5384
KAU010	216.668088738303
KAU012	304.6613
KAU017	252.5784
KAU022	286.197797312533
KAU025	282.927540030521
KAU028	547.7951
KAU029	351.9061
KAU032	190.7002
KAU033	186.5498
KAU036	234.5858
KAU037	277.3028
KAU044	215.9283
KAU045	145.219395017529
KAU047	494.634199374146
KAU048	194.949382107743
KAU049	932.97
KAU050	650.81
KAU054	502.7652
KAU055	255.690478739288
KAU057	542.683731347342
KAU062	195.5799
KAU064	242.4634
KAU066	228.615
KAU068	813.2285
KAU070	289.3923
KAU072	487.1316
KAU074	224.8876
KAU077	538.165981599676
KAU079	593.7655
KAU086	213.474110077072
KAU087	247.4023
TTN002	663.93714728339
TTN003	508.474576271186
TTN004	602.68
TTN006	698.53
TTN007	648.28
TTN008	257.828129979739
TTN009	255.690478739288
TTN011	445.368171021378
TTN012	328.839074180869
TTN013	326.199365923474
TTN014	539.6169
TTN015	491.6637
TTN016	842.815002107038
TTN020	514.4474
TTN021	673.86
TTN022	513.748577311788
TTN024	550.1054
TTN025	701.0984
TTN027	318.218
TTN029	519.2557
TTN031	512.689054088695
TTN032	736.105999263894
TTN033	660.211267605634
TTN034	457.491422035837
TTN035	514.411283115669
TTN036	469.153259638248
TTN037	738.189
TTN038	521.788316406688
TTN041	431.5926
TTN042	824.5156
TTN043	490.596892886345
TTN044	353.3569
TTN045	539.471318108254
TTN046	529.100529100529
TTN048	733.14
TTN049	467.1078
TTN050	411.27281137485
TTN051	902.74
TTN052	679.02
TTN053	627.8121
CHY002	229.62
CHY004	272.9754
CHY008	209.4972
CHY010	816.86
CHY012	192.2214
CHY006	422.684
CHY015	224.7275
CHY017	196.0186
CHY019	405.879197795316
CHY024	408.4967
CHY025	276.4977
CHY026	220.6369
CHY027	209.4952
CHY028	546.906333175338
CHY029	541.6629
CHY032	192.5669
CHY033	193.3239
CHY034	383.1418
CHY035	554.221319046739
CHY036	236.0532
CHY039	195.1495
CHY041	488.1224
CHY042	610.889405697683
CHY044	192.6659
CHY046	446.4618
CHY047	183.5174
CHY050	442.000419618134
CHY052	522.143012108921
CHY054	175.1108
CHY055	221.4512
CHY057	390.695969464844
CHY058	271.1252
CHY061	489.563839394738
CHY062	597.8477
CHY074	524.6131
CHY076	170.8915
CHY079	625.94
CHY080	499.1681
CHY081	639.372301756394
CHY082	194.8052
CHY086	591.171339734472
CHY087	508.001
CHY088	329.543582138738
CHY090	181.8788
CHY093	191.3937
CHY094	223.1977
CHY100	353.195969605714
CHY101	252.3659
CHY102	836.1204
CHY104	218.8024
CHY107	181.0514
HWA002	789.3698
HWA005	371.313366224799
HWA006	557.051341565314
HWA009	429.843125556287
HWA011	360.837142169834
HWA012	409.7805
HWA013	336.757029802997
HWA014	279.955207166853
HWA015	445.5997
HWA016	579.598145285935
HWA017	584.6815
HWA019	503.524672708963
HWA020	629.590766002099
HWA024	693.6
HWA027	434.5623
HWA028	404.9129
HWA029	597.1338
HWA030	594.059405940594
HWA031	593.824228028503
HWA032	636.26723223754
HWA033	392.7473
HWA034	381.7765
HWA035	686.106346483705
HWA036	520.60737527115
HWA037	466.52670865407
HWA038	661.5215
HWA039	506.797001317328
HWA041	481.85030517186
HWA043	544.464609800363
HWA044	533.049040511727
HWA046	643.7078
HWA048	349.7937
HWA049	509.337860780985
HWA050	335.926883734463
HWA051	449.7421
HWA056	516.44
HWA057	814.87
HWA058	525.6702
HWA059	265.844129730809
ILA067	557.222998144596
KAU001	504.660110159669
KAU050	650.81
KAU054	502.7652
TCU029	404.831
TCU031	476.3039
TCU032	500.2501
TCU036	483.1307
TCU038	392
TCU039	549.5512
TCU040	336.191
TCU042	573.5041
TCU045	706.9636
TCU046	462.606
TCU048	558.3572
TCU049	469.7409
TCU050	539.3258
TCU051	415.688654360583
TCU052	589.2173
TCU053	452.1136
TCU054	436.9992
TCU056	401.1902
TCU057	539.513833877385
TCU059	232.1892
TCU060	605.2048
TCU061	365.2968
TCU063	476.1527
TCU064	646.97
TCU065	290.1073
TCU067	440.3023
TCU068	489.9959
TCU070	396.4845
TCU071	614.7541
TCU072	471.8836
TCU073	640.94
TCU074	558.2434
TCU075	521.2406
TCU076	573.2302
TCU078	444.5432
TCU079	353.9405
TCU082	469.3734
TCU084	733.78
TCU087	574.329655192064
TCU089	628.648482442452
TCU100	442.685742222822
TCU102	706.2054
TCU103	488.6789
TCU104	403.4698
TCU105	539.132
TCU106	450.9583
TCU107	313.246089582577
TCU109	352.274047449854
TCU112	191.2655
TCU113	231.0892
TCU115	184.9283
TCU116	463.2489
TCU117	207.168
TCU118	228.554
TCU119	222
TCU120	458.1552
TCU122	623.58
TCU123	268.662552564575
TCU128	591.9495
TCU129	506.4573
TCU131	491.4407
TCU136	458.0153
TCU138	604.2296
TCU140	221.9263
TCU141	221.2226
TCU145	225
TTN001	484.457004440856
TTN020	514.4474
TTN022	513.748577311788
TTN031	512.689054088695
TTN032	736.105999263894
TTN033	660.211267605634
TTN040	726.5682
TTN041	431.5926
TTN051	902.74
CHY014	341.8024
CHY002	229.62
CHY003	183.18795400291
CHY005	211.0298
CHY006	422.684
CHY008	209.4972
CHY009	226.1079
CHY010	816.86
CHY011	522.051483487638
CHY014	341.8024
CHY001	229.88
CHY024	408.4967
CHY025	276.4977
CHY026	220.6369
CHY027	209.4952
CHY028	546.906333175338
CHY029	541.6629
CHY030	207.8786
CHY015	224.7275
CHY033	193.3239
CHY034	383.1418
CHY036	236.0532
CHY037	208.7755
CHY038	372.8792
CHY039	195.1495
CHY041	488.1224
CHY042	610.889405697683
CHY043	225.4114
CHY045	627.5494
CHY046	446.4618
CHY032	192.5669
CHY049	224.8207
CHY051	363.8789
CHY073	201.4775
CHY074	524.6131
CHY076	170.8915
CHY080	499.1681
CHY083	374.0182
CHY084	259.0674
CHY087	508.001
CHY088	329.543582138738
CHY092	252.2068
CHY094	223.1977
CHY095	216.3644
CHY101	252.3659
CHY103	223.6583
CHY104	218.8024
CHY105	204.3597
CHY106	227.6349
CHY047	183.5174
CHY110	801.58
CHY119	469.668189073915
CHY121	647.065877035028
CHY126	356.52472182963
HWA001	565.184626978146
HWA002	789.3698
HWA005	371.313366224799
HWA007	352.65075121049
HWA008	297.029702970297
HWA009	429.843125556287
HWA010	249.677499895968
HWA011	360.837142169834
HWA012	409.7805
HWA013	336.757029802997
HWA014	279.955207166853
HWA015	445.5997
HWA016	579.598145285935
HWA018	462.5699
HWA019	503.524672708963
HWA020	629.590766002099
HWA027	434.5623
HWA028	404.9129
HWA029	597.1338
HWA030	594.059405940594
HWA032	636.26723223754
HWA033	392.7473
HWA034	381.7765
HWA035	686.106346483705
HWA036	520.60737527115
HWA038	661.5215
HWA043	544.464609800363
HWA045	472.775982980065
HWA048	349.7937
HWA049	509.337860780985
HWA050	335.926883734463
HWA051	449.7421
HWA055	523.809798016561
HWA056	516.44
HWA057	814.87
HWA058	525.6702
HWA061	249.68375558773
HWA062	605.693519079346
HWA063	328.839074180869
ILA053	534.6641
ILA067	557.222998144596
TCU030	624.6746
TCU031	476.3039
TCU032	500.2501
TCU033	420.5509
TCU034	391.5682
TCU035	378.1195
TCU036	483.1307
TCU038	392
TCU039	549.5512
TCU040	336.191
TCU041	415.688654360583
TCU044	508.3453
TCU046	462.606
TCU047	522.967
TCU048	558.3572
TCU049	469.7409
TCU050	539.3258
TCU051	415.688654360583
TCU053	452.1136
TCU054	436.9992
TCU055	426.01346058588
TCU056	401.1902
TCU057	539.513833877385
TCU058	650.91
TCU059	232.1892
TCU060	605.2048
TCU061	365.2968
TCU062	451.0261
TCU063	476.1527
TCU065	290.1073
TCU067	440.3023
TCU068	489.9959
TCU069	554.7337
TCU070	396.4845
TCU071	614.7541
TCU072	471.8836
TCU073	640.94
TCU074	558.2434
TCU075	521.2406
TCU076	573.2302
TCU077	507.4854
TCU078	444.5432
TCU080	654.37
TCU082	469.3734
TCU084	733.78
TCU086	222.8992
TCU087	574.329655192064
TCU088	658.661476720903
TCU089	628.648482442452
TCU090	550.863
TCU095	454.0982
TCU099	424.450832760864
TCU100	442.685742222822
TCU101	720.69
TCU102	706.2054
TCU103	488.6789
TCU104	403.4698
TCU105	539.132
TCU106	450.9583
TCU107	313.246089582577
TCU108	271.875000464888
TCU109	352.274047449854
TCU110	199.4681
TCU111	233.4721
TCU113	231.0892
TCU115	184.9283
TCU116	463.2489
TCU117	207.168
TCU118	228.554
TCU119	222
TCU120	458.1552
TCU121	232.423
TCU122	623.58
TCU123	268.662552564575
TCU124	242
TCU125	630.45
TCU126	467.816177880271
TCU128	591.9495
TCU129	506.4573
TCU130	629.37
TCU131	491.4407
TCU133	412.245274184106
TCU136	458.0153
TCU137	588.179003115681
TCU138	604.2296
TCU139	306.9525
TCU141	221.2226
TCU142	643.51
TCU143	465.9109
TCU145	225
TCU146	211.111571402217
TCU148	513.5228
TCU159	757.65
HWA031	593.824228028503
CHY003	183.18795400291
CHY005	211.0298
CHY002	229.62
CHY010	816.86
CHY011	522.051483487638
CHY026	220.6369
CHY029	541.6629
CHY035	554.221319046739
CHY040	604.540748889689
CHY046	446.4618
CHY047	183.5174
CHY048	248.6531
CHY073	201.4775
CHY074	524.6131
CHY092	252.2068
CHY103	223.6583
CHY006	422.684
HWA005	371.313366224799
HWA007	352.65075121049
HWA008	297.029702970297
HWA009	429.843125556287
HWA010	249.677499895968
HWA011	360.837142169834
HWA012	409.7805
HWA013	336.757029802997
HWA014	279.955207166853
HWA015	445.5997
HWA016	579.598145285935
HWA017	584.6815
HWA018	462.5699
HWA019	503.524672708963
HWA020	629.590766002099
HWA021	501.861233291253
HWA022	571.709857270921
HWA023	623.13
HWA026	460.9357
HWA027	434.5623
HWA028	404.9129
HWA029	597.1338
HWA030	594.059405940594
HWA031	593.824228028503
HWA032	636.26723223754
HWA033	392.7473
HWA035	686.106346483705
HWA036	520.60737527115
HWA038	661.5215
HWA039	506.797001317328
HWA041	481.85030517186
HWA043	544.464609800363
HWA044	533.049040511727
HWA045	472.775982980065
HWA047	543.67524465386
HWA048	349.7937
HWA049	509.337860780985
HWA050	335.926883734463
HWA051	449.7421
HWA052	576.4802
HWA056	516.44
HWA057	814.87
HWA058	525.6702
HWA059	265.844129730809
HWA061	249.68375558773
ILA053	534.6641
ILA067	557.222998144596
TCU030	624.6746
TCU032	500.2501
TCU036	483.1307
TCU038	392
TCU040	336.191
TCU041	415.688654360583
TCU042	573.5041
TCU045	706.9636
TCU046	462.606
TCU047	522.967
TCU048	558.3572
TCU049	469.7409
TCU050	539.3258
TCU051	415.688654360583
TCU052	589.2173
TCU053	452.1136
TCU054	436.9992
TCU056	401.1902
TCU057	539.513833877385
TCU058	650.91
TCU059	232.1892
TCU060	605.2048
TCU061	365.2968
TCU062	451.0261
TCU065	290.1073
TCU070	396.4845
TCU071	614.7541
TCU072	471.8836
TCU076	573.2302
TCU077	507.4854
TCU082	469.3734
TCU084	733.78
TCU087	574.329655192064
TCU090	550.863
TCU099	424.450832760864
TCU100	442.685742222822
TCU102	706.2054
TCU103	488.6789
TCU104	403.4698
TCU105	539.132
TCU106	450.9583
TCU107	313.246089582577
TCU108	271.875000464888
TCU109	352.274047449854
TCU112	191.2655
TCU113	231.0892
TCU115	184.9283
TCU116	463.2489
TCU117	207.168
TCU118	228.554
TCU119	222
TCU120	458.1552
TCU122	623.58
TCU124	242
TCU125	630.45
TCU127	807.6457
TCU128	591.9495
TCU129	506.4573
TCU131	491.4407
TCU141	221.2226
TCU145	225
TCU080	654.37
HWA007	352.65075121049
HWA008	297.029702970297
HWA010	249.677499895968
HWA011	360.837142169834
HWA013	336.757029802997
HWA014	279.955207166853
HWA015	445.5997
HWA023	623.13
HWA025	483.091787439614
HWA026	460.9357
HWA027	434.5623
HWA028	404.9129
HWA045	472.775982980065
HWA046	643.7078
HWA047	543.67524465386
HWA048	349.7937
HWA049	509.337860780985
HWA050	335.926883734463
HWA056	516.44
HWA057	814.87
HWA058	525.6702
HWA061	249.68375558773
HWA062	605.693519079346
ILA001	939.1154
ILA015	776.8007
ILA017	627.4182
ILA018	497.4712
ILA020	453.549
ILA021	496.88142948351
ILA023	503.929009948486
ILA025	653.412864783884
ILA027	267.472858885674
ILA029	186.9741
ILA032	296.5159
ILA036	179.0237
ILA037	212.9296
ILA038	243.8529
ILA046	397.59
ILA049	242.409953223941
ILA050	626.57
ILA051	535.236396074933
ILA052	653.850181835177
ILA053	534.6641
ILA063	1002.6738
ILA066	477.63
ILA067	557.222998144596
ILA068	617.22
TAP007	204.3179
TAP013	207.929
TAP021	165.3076
TAP024	187.8405
TAP026	200.5818
TAP034	371.990869824148
TAP043	382.6301
TAP047	571.211
TAP052	434.4049
TAP100	216.668088738303
TCU006	612.0575
TCU017	548.245614035088
TCU081	427.1375
TCU083	370.7136
TCU085	1037.8827
TCU088	658.661476720903
TCU092	644.2
TCU094	581.4517
TCU127	807.6457
TCU130	629.37
TCU147	538.1166
HWA019	503.524672708963
CHY002	229.62
CHY003	183.18795400291
CHY006	422.684
CHY011	522.051483487638
CHY013	216.2318
CHY015	224.7275
CHY009	226.1079
CHY024	408.4967
CHY025	276.4977
CHY028	546.906333175338
CHY022	570.0171
CHY032	192.5669
CHY033	193.3239
CHY034	383.1418
CHY037	208.7755
CHY039	195.1495
CHY040	604.540748889689
CHY043	225.4114
CHY046	446.4618
CHY047	183.5174
CHY048	248.6531
CHY049	224.8207
CHY052	522.143012108921
CHY029	541.6629
CHY054	175.1108
CHY073	201.4775
CHY074	524.6131
CHY080	499.1681
CHY083	374.0182
CHY086	591.171339734472
CHY087	508.001
CHY088	329.543582138738
CHY092	252.2068
CHY095	216.3644
CHY102	836.1204
CHY103	223.6583
CHY105	204.3597
CHY106	227.6349
CHY107	181.0514
KAU054	502.7652
TCU078	444.5432
TCU129	506.4573
CHY053	272.6653
CHY005	211.0298
CHY006	422.684
CHY008	209.4972
CHY011	522.051483487638
CHY012	192.2214
CHY014	341.8024
CHY009	226.1079
CHY016	199.4681
CHY017	196.0186
CHY018	594.6482
CHY020	214.1404
CHY021	212.3443
CHY022	570.0171
CHY023	279.7855
CHY028	546.906333175338
CHY029	541.6629
CHY032	192.5669
CHY015	224.7275
CHY034	383.1418
CHY035	554.221319046739
CHY037	208.7755
CHY038	372.8792
CHY039	195.1495
CHY041	488.1224
CHY042	610.889405697683
CHY043	225.4114
CHY044	192.6659
CHY045	627.5494
CHY046	446.4618
CHY047	183.5174
CHY033	193.3239
CHY049	224.8207
CHY052	522.143012108921
CHY053	272.6653
CHY055	221.4512
CHY056	189.0002
CHY058	271.1252
CHY059	186.9741
CHY061	489.563839394738
CHY062	597.8477
CHY063	287.6594
CHY065	222.6924
CHY066	211.492
CHY067	229.0426
CHY069	219.9817
CHY070	228.6673
CHY073	201.4775
CHY074	524.6131
CHY077	124.8959
CHY078	162.2506
CHY079	625.94
CHY080	499.1681
CHY081	639.372301756394
CHY086	591.171339734472
CHY087	508.001
CHY089	396.1965
CHY095	216.3644
CHY096	412.245274184106
CHY099	217.1177
CHY102	836.1204
CHY048	248.6531
CHY105	204.3597
CHY106	227.6349
CHY107	181.0514
CHY113	240.6449
CHY115	211.111571402217
CHY119	469.668189073915
CHY121	647.065877035028
HWA004	319.5909
HWA041	481.85030517186
HWA042	496.88142948351
KAU003	887.7053
KAU007	277.65996108714
KAU008	287.4527
KAU009	270.5384
KAU010	216.668088738303
KAU012	304.6613
KAU013	261.5975
KAU017	252.5784
KAU018	371.313366224799
KAU020	344.2143
KAU022	286.197797312533
KAU025	282.927540030521
KAU029	351.9061
KAU030	265.2051
KAU032	190.7002
KAU036	234.5858
KAU037	277.3028
KAU044	215.9283
KAU045	145.219395017529
KAU047	494.634199374146
KAU048	194.949382107743
KAU049	932.97
KAU050	650.81
KAU053	863.23
KAU055	255.690478739288
KAU057	542.683731347342
KAU058	216.668088738303
KAU062	195.5799
KAU063	211.6029
KAU064	242.4634
KAU070	289.3923
KAU072	487.1316
KAU074	224.8876
KAU077	538.165981599676
KAU078	553.0464
KAU079	593.7655
KAU085	255.809
KAU086	213.474110077072
KAU087	247.4023
TTN002	663.93714728339
TTN005	655.43
TTN008	257.828129979739
TTN009	255.690478739288
TTN011	445.368171021378
TTN014	539.6169
TTN015	491.6637
TTN020	514.4474
TTN021	673.86
TTN022	513.748577311788
TTN023	542.2013
TTN024	550.1054
TTN025	701.0984
TTN026	736.89
TTN027	318.218
TTN028	619.834710743802
TTN029	519.2557
TTN030	688.9425
TTN035	514.411283115669
TTN037	738.189
TTN040	726.5682
TTN041	431.5926
TTN042	824.5156
TTN043	490.596892886345
TTN044	353.3569
TTN046	529.100529100529
TTN047	516.576913525139
TTN048	733.14
TTN049	467.1078
TTN051	902.74
TTN052	679.02
TTN053	627.8121
HWA002	789.3698
HWA003	1538.0277
HWA037	466.52670865407
HWA043	544.464609800363
HWA044	533.049040511727
TTN001	484.457004440856
TTN014	539.6169
TTN031	512.689054088695
TTN032	736.105999263894
TTN033	660.211267605634
CHY004	272.9754
CHY005	211.0298
CHY001	229.88
CHY010	816.86
CHY011	522.051483487638
CHY012	192.2214
CHY013	216.2318
CHY014	341.8024
CHY015	224.7275
CHY016	199.4681
CHY017	196.0186
CHY018	594.6482
CHY019	405.879197795316
CHY021	212.3443
CHY022	570.0171
CHY008	209.4972
CHY024	408.4967
CHY025	276.4977
CHY026	220.6369
CHY027	209.4952
CHY029	541.6629
CHY030	207.8786
CHY032	192.5669
CHY033	193.3239
CHY035	554.221319046739
CHY042	610.889405697683
CHY043	225.4114
CHY045	627.5494
CHY046	446.4618
CHY049	224.8207
CHY050	442.000419618134
CHY054	175.1108
CHY060	223.9238
CHY061	489.563839394738
CHY062	597.8477
CHY074	524.6131
CHY076	170.8915
CHY081	639.372301756394
CHY082	194.8052
CHY084	259.0674
CHY087	508.001
CHY088	329.543582138738
HWA004	319.5909
KAU001	504.660110159669
KAU003	887.7053
KAU007	277.65996108714
KAU009	270.5384
KAU012	304.6613
KAU017	252.5784
CHY023	279.7855
KAU020	344.2143
KAU029	351.9061
KAU054	502.7652
TCU077	507.4854
TCU078	444.5432
TCU079	353.9405
TCU086	222.8992
TCU090	550.863
TTN018	641.803634381193
KAU018	371.313366224799
HWA002	789.3698
HWA003	1538.0277
HWA004	319.5909
HWA005	371.313366224799
HWA007	352.65075121049
HWA008	297.029702970297
HWA010	249.677499895968
HWA011	360.837142169834
HWA013	336.757029802997
HWA014	279.955207166853
HWA015	445.5997
HWA016	579.598145285935
HWA017	584.6815
HWA018	462.5699
HWA019	503.524672708963
HWA020	629.590766002099
HWA021	501.861233291253
HWA022	571.709857270921
HWA023	623.13
HWA024	693.6
HWA025	483.091787439614
HWA027	434.5623
HWA028	404.9129
HWA029	597.1338
HWA031	593.824228028503
HWA032	636.26723223754
HWA035	686.106346483705
HWA038	661.5215
HWA039	506.797001317328
HWA042	496.88142948351
HWA044	533.049040511727
HWA045	472.775982980065
HWA049	509.337860780985
HWA050	335.926883734463
HWA051	449.7421
HWA052	576.4802
HWA054	490.089420406063
HWA056	516.44
HWA057	814.87
HWA058	525.6702
HWA059	265.844129730809
HWA061	249.68375558773
ILA053	534.6641
TCU080	654.37
TCU084	733.78
TTN001	484.457004440856
TTN014	539.6169
TTN020	514.4474
TTN021	673.86
TTN022	513.748577311788
TTN041	431.5926
TTN043	490.596892886345
TTN051	902.74
HWA047	543.67524465386
CHY005	211.0298
CHY006	422.684
CHY008	209.4972
CHY012	192.2214
CHY013	216.2318
CHY015	224.7275
CHY028	546.906333175338
CHY033	193.3239
CHY035	554.221319046739
CHY036	236.0532
CHY037	208.7755
CHY040	604.540748889689
CHY042	610.889405697683
CHY043	225.4114
CHY044	192.6659
CHY045	627.5494
CHY046	446.4618
CHY049	224.8207
CHY050	442.000419618134
CHY054	175.1108
CHY058	271.1252
CHY060	223.9238
CHY061	489.563839394738
CHY039	195.1495
CHY063	287.6594
CHY065	222.6924
CHY066	211.492
CHY070	228.6673
CHY073	201.4775
CHY081	639.372301756394
CHY087	508.001
CHY088	329.543582138738
CHY090	181.8788
KAU003	887.7053
KAU007	277.65996108714
KAU009	270.5384
KAU010	216.668088738303
KAU012	304.6613
KAU013	261.5975
KAU020	344.2143
KAU022	286.197797312533
KAU028	547.7951
KAU030	265.2051
KAU032	190.7002
KAU036	234.5858
KAU044	215.9283
KAU045	145.219395017529
KAU054	502.7652
TCU090	550.863
TTN010	326.199365923474
TTN015	491.6637
TTN018	641.803634381193
CHY062	597.8477
KAU037	277.3028
KAU077	538.165981599676
TTN002	663.93714728339
TTN003	508.474576271186
TTN004	602.68
TTN007	648.28
TTN008	257.828129979739
TTN009	255.690478739288
TTN010	326.199365923474
TTN011	445.368171021378
TTN013	326.199365923474
TTN014	539.6169
TTN015	491.6637
TTN016	842.815002107038
TTN018	641.803634381193
TTN021	673.86
TTN022	513.748577311788
TTN023	542.2013
TTN024	550.1054
TTN025	701.0984
TTN026	736.89
TTN027	318.218
TTN028	619.834710743802
TTN029	519.2557
TTN030	688.9425
TTN034	457.491422035837
TTN035	514.411283115669
TTN036	469.153259638248
TTN038	521.788316406688
TTN042	824.5156
TTN043	490.596892886345
TTN044	353.3569
TTN046	529.100529100529
TTN047	516.576913525139
TTN048	733.14
TTN050	411.27281137485
TTN052	679.02
TTN053	627.8121
TTN005	655.43
CHY002	229.62
CHY004	272.9754
CHY005	211.0298
CHY001	229.88
CHY009	226.1079
CHY010	816.86
CHY011	522.051483487638
CHY013	216.2318
CHY014	341.8024
CHY015	224.7275
CHY018	594.6482
CHY006	422.684
CHY025	276.4977
CHY026	220.6369
CHY028	546.906333175338
CHY029	541.6629
CHY030	207.8786
CHY032	192.5669
CHY033	193.3239
CHY035	554.221319046739
CHY036	236.0532
CHY037	208.7755
CHY039	195.1495
CHY024	408.4967
CHY042	610.889405697683
CHY043	225.4114
CHY044	192.6659
CHY045	627.5494
CHY046	446.4618
CHY047	183.5174
CHY048	248.6531
CHY049	224.8207
CHY051	363.8789
CHY053	272.6653
CHY055	221.4512
CHY073	201.4775
CHY074	524.6131
CHY076	170.8915
CHY079	625.94
CHY081	639.372301756394
CHY082	194.8052
CHY084	259.0674
CHY093	191.3937
CHY094	223.1977
CHY100	353.195969605714
CHY101	252.3659
CHY102	836.1204
CHY104	218.8024
CHY041	488.1224
CHY106	227.6349
CHY107	181.0514
CHY113	240.6449
CHY119	469.668189073915
CHY121	647.065877035028
CHY126	356.52472182963
HWA005	371.313366224799
HWA006	557.051341565314
HWA020	629.590766002099
HWA021	501.861233291253
HWA031	593.824228028503
HWA032	636.26723223754
HWA035	686.106346483705
HWA036	520.60737527115
HWA037	466.52670865407
HWA038	661.5215
